名称,面积(㎡),小区,总价(万),单价(元/㎡)
找我有优惠 海淀北 地铁朱辛庄站 越秀星樾 精装准现房,127.0,越秀·星樾,814.0,64094.0
8号/昌平线旁·朱辛庄地铁站·建面约98-145㎡ 带装修,145.0,中海寰宇未来,959.0,66137.0
朱辛庄现房精装三居两卫全明格局开盘找我有优惠,101.0,越秀·星樾,614.0,60792.0
"一步海淀,朱辛庄双地铁,越秀星樾准现房,精装平层四居,临万达",108.0,越秀·星樾,620.0,57407.0
朱辛庄现房精装三居两卫全明格局准现房找我有优惠,101.0,越秀·星樾,615.0,60891.0
海淀北 地铁朱辛庄站 越秀星樾准现房 即将开售 找我有优惠,60.0,越秀·星樾,385.0,64166.0
越秀 星樾 核心双轨 昌平朱辛庄站300米 准现房,79.0,越秀·星樾,489.0,61898.0
点我咨询省到底 8号线双地铁450米115平680看描述,115.0,中海寰宇未来,699.0,60782.0
昌平回龙观 龙城花园四期中八区独栋花园别墅 9室3厅上千平米,389.59,龙城花园,5500.0,141174.0
海淀北朱辛庄地铁口 万达广场 小 未来产业园 团购价 6万起,107.0,中海寰宇未来,630.0,58878.0
回龙观 南北通低总价三居 首付60万 只有契税 安全交付,124.88,田园风光雅苑,360.0,28827.0
海淀北 业主着急出售 5.4米复式 使用面积80平可个人购买,40.0,尚城,88.0,22000.0
只服务买家 比二手房便宜50万 满额贷款仅契税 安全可靠,93.7,和谐家园一区,419.0,44717.0
回龙观·云趣园一区·3室· 好房子 中间楼层,110.64,云趣园一区,338.0,30549.0
回龙观·龙城花园W区·4室·2厅,191.51,龙城花园W区,648.0,33836.0
视野开阔 无遮挡 餐厅单独有窗,93.61,云趣园一区,318.0,33970.0
"找我低价:127平787萬,101平591萬,79平489萬",83.0,越秀·星樾,487.0,58674.0
回龙观·龙跃苑四区·3室·1厅,119.87,龙跃苑四区,398.0,33202.0
回龙观·云趣园一区·3室· 好房子 中间楼层,110.64,云趣园一区,338.0,30549.0
劲爆 业主着急用钱 8号线朱辛庄 万达 小米附近 随时看房!,60.0,TBD万科天地,110.0,18333.0
朱辛庄·TBD住总万科天地7号院·3室·1厅,88.85,TBD万科天地住宅,329.0,37028.0
吉晟联排别墅 小区内可以加电梯的户型!业主诚意出售,250.0,吉晟别墅,1050.0,42000.0
"1万办理二手房一切买卖流程,专业办理,安全可靠,资金监管",146.24,流星花园三区,710.0,48550.0
"一口价房源,手续费1万帮走所有买卖流程,资金监管",129.58,新龙城,525.0,40515.0
"买房不收买家服务费,卖家收取0.5%,可随时联系北京房子都做",119.71,龙禧苑,429.0,35836.0
(有钥匙随时看)2层 业主非常诚心出售 商,98.48,龙锦苑东一区,369.0,37469.0
"买房0服务费,卖房收0.5,无其他任何费用",85.48,云趣园一区,310.0,36265.0
(来电享优惠)北五环外越秀星樾 精装修现房大面宽短进深,127.0,越秀·星樾,787.0,61968.0
龙跃苑三区 满五年 中间楼层 南北通透 全明格局,143.28,龙跃苑三区,448.0,31267.0
"回龙观 龙腾苑六区5+6复试,房子处于小区中间位置,不临街不",210.13,龙腾苑六区,699.0,33265.0
"回龙观·龙跃苑四区·一层三居室,不临街,楼前无遮挡。",119.94,龙跃苑四区,445.0,37101.0
"一口价房源,手续费1万帮走所有买卖流程,资金监管",92.34,公园悦府,408.0,44184.0
"地铁号线平西府站480米,纯商品现房,交通,教育配套齐全",115.0,奥森春晓,600.0,52173.0
"回龙观首开国风美唐三期视野好,南北通透三居。人车分流",127.68,首开国风美唐,900.0,70488.0
"小区二手房买卖,服务费共0.6%,买方卖方分摊",92.12,流星花园三区,480.0,52105.0
回龙观 新龙城 东西通透两居 电梯房 落地窗 近龙泽站,90.98,新龙城,430.0,47263.0
回龙观丨龙泽丨新龙城丨三面宽丨电梯顶层丨近地铁,115.08,新龙城,560.0,48661.0
"新上两居室,仅契税,低楼层,近地铁 出行方便",93.63,云趣园一区,520.0,55537.0
海淀旁边中间一层有花地 层高3.3米 满五年一套房 城铁房,121.79,新龙城,600.0,49265.0
"海淀北 双地铁昌平线8号线朱辛庄站,2站西二旗 实景现房。",60.0,越秀·星樾,360.0,60000.0
"1万办理二手房一切买卖流程,专业办理,安全可靠,资金监管",87.41,公园悦府,569.0,65095.0
"找我低价购:106平626萬,145平特惠880萬,看描述",115.0,中海寰宇未来,650.0,56521.0
"一口价房源,手续费1万帮走所有买卖流程,资金监管",89.97,公园悦府,490.0,54462.0
"买房0服务费,卖房收0.5,无其他任何费用",124.48,和谐家园二区,507.0,40729.0
"买房0服务费,卖房收0.5,无其他任何费用",80.95,领秀慧谷A区,340.0,42001.0
"回龙观,云趣园,4层,南北通透,满五",104.47,云趣园二区,480.0,45946.0
"回龙观龙禧苑一区6+7复式,中间位置,有钥匙看房方便",195.74,龙禧苑,599.0,30601.0
回龙观 新龙城 南北 两居 高楼层 落地窗 视野好 近龙泽站,96.35,新龙城,410.0,42553.0
"小区二手房买卖,服务费共0.6%,买方卖方分摊",109.69,田园风光雅苑,465.0,42392.0
(买房0中.介费)首开国风美唐二期 2室1厅 80.99平,80.99,首开国风美唐,395.0,48771.0
海淀旁 北五环地铁奥森春晓2居3居户型齐全首付198w,96.9,奥森春晓,588.5,60732.0
回龙观 · 首开国风美唐二期 · 2室 · 1厅,82.64,首开国风美唐,490.0,59293.0
"买房不收买家服务费,卖家收取0.5%,可随时联系北京房子都做",78.67,东村家园,460.0,58472.0
"买房不收买家服务费,卖家收取0.5%,可随时联系北京房子都做",90.4,龙跃苑四区,396.0,43805.0
回龙观·龙城花园W区·4室·3厅,191.57,龙城花园W区,768.0,40089.0
地铁朱辛庄一手精装修新房-中海寰宇未来,115.0,中海寰宇未来,680.0,59130.0
龙城花园W区 南北通透 采光好 视野开阔,191.51,龙城花园W区,699.0,36499.0
吉晟别墅4室2厅企业推荐房源,224.96,吉晟别墅,1110.0,49342.0
"小区二手房买卖,服务费共0.6%,买方卖方分摊",127.47,龙回苑,479.0,37577.0
"龙锦苑一区,3居2卫,不临街,商品房满五年",125.82,龙锦苑一区,425.0,33778.0
海淀旁边中间一层有花地 层高3.3米 满五年一套房 城铁房,121.79,新龙城,600.0,49265.0
"一口价房源,手续费1万帮走所有买卖流程,资金监管",92.34,公园悦府,408.0,44184.0
"龙锦苑一区,3居2卫,不临街,商品房满五年",125.82,龙锦苑一区,425.0,33778.0
"买房不收买家服务费,卖家收取0.5%,可随时联系北京房子都做",90.4,龙跃苑四区,396.0,43805.0
"奥森春晓,距离平西府地铁站500米左右 8号线",115.0,奥森春晓,625.0,54347.0
"小区二手房买卖,服务费共0.6%,买方卖方分摊",109.69,田园风光雅苑,465.0,42392.0
回龙观新龙城落地窗 70万纯新精装修 拎包入住 带车位,108.31,新龙城,648.0,59828.0
新上 近地铁 龙泽新龙城 全落地窗 1室1厅,63.24,新龙城,416.0,65781.0
"买房0服务费,卖房收0.5,无其他任何费用",94.37,云趣园三区,335.0,35498.0
"买房0服务费,卖房收0.5,无其他任何费用",85.48,云趣园一区,310.0,36265.0
"1万办理二手房一切买卖流程,专业办理,安全可靠,资金监管",115.09,新龙城,480.0,41706.0
回龙观丨龙泽丨新龙城丨三面宽丨电梯顶层丨近地铁,115.08,新龙城,560.0,48661.0
"一口价房源,手续费1万帮走所有买卖流程,资金监管",129.58,新龙城,525.0,40515.0
"龙锦苑一区,3居2卫,不临街,商品房满五年",125.82,龙锦苑一区,425.0,33778.0
