名称,面积(㎡),小区,总价(万),单价(元/㎡)
精装修交付 回龙观高端改善盘 核心C位 三轨交汇 配套完善,142.89,紫金书院,935.0,65434.0
北五环外昌平霍营 紫金书院! 靓妆交房 人大fu中,110.39,紫金书院,680.0,61599.0
霍营南里三居室 园区中心 南北通透 4层 商,85.4,华龙苑南里,320.0,37470.0
旗胜家园西区 南北通透两居室 老业主靠谱签约 中间楼层,89.04,旗胜家园,400.0,44923.0
霍营 · 紫金新干线二区 · 2室 · 1厅,92.9,紫金新干线,575.0,61894.0
地铁房 紫金书院!110平三室 特价668起! 人大fu中,111.0,紫金书院,708.0,63783.0
南北通透紫金新干线3室2厅精装修,129.0,紫金新干线,605.0,46899.0
西三旗 · 新康园 · 3室 · 1厅,92.4,新康园,450.0,48701.0
地铁房 紫金书院!110平三室 特价668起! 人大fu中,111.0,紫金书院,708.0,63783.0
"北京二手房买卖,服务费1万一单,有需要做的朋友联系",105.62,紫金新干线,610.0,57754.0
正南旗胜家园2室1厅,89.0,旗胜家园,330.0,37078.0
霍营华龙苑南里3室1厅,102.64,华龙苑南里,410.0,39945.0
2室2厅紫金新干线二区,87.99,紫金新干线,550.0,62507.0
西三旗·新康园·2室·1厅,88.74,新康园,319.0,35947.0
西三旗新康园平层大三居 西南向 满五,150.19,新康园,615.0,40948.0
霍营 天鑫家园 精装修三居室 南北通透 近地铁 诚心出售,97.65,天鑫家园二期,320.0,32770.0
旗胜家园西区 南北通透两居室 老业主靠谱签约 中间楼层,89.04,旗胜家园,400.0,44923.0
"北京二手房买卖,服务费1万一单,有需要做的朋友联系",60.69,华龙苑南里,239.0,39380.0
"小区二手房买卖,服务费1万一单,有需要的朋友联系",56.37,黄平路8号院,245.0,43462.0
"壹万帮办理二手房一切买卖流程,专业办理,安全可靠,资金监管",87.37,新康园,355.0,40631.0
霍营 天鑫家园 精装修三居室 南北通透 近地铁 诚心出售,97.65,天鑫家园二期,320.0,32770.0
精装修交付 回龙观高端改善盘 核心C位 三轨交汇 配套完善,146.0,紫金书院,929.0,63630.0
D14 -3单元-201,142.89,紫金书院,929.97,65082.0
西三旗·瑞旗家园·2室·1厅,88.98,旗胜家园,335.0,37648.0
华龙苑北里 电梯近地铁洋房 商满五 价钱合适,79.59,华龙苑北里,272.0,34175.0
新康园 101平 343万 司法房产 回龙观,101.39,新康园,343.0,33829.0
海淀西三旗·瑞旗家园·新上东南两居室 中间楼层 位置好,82.86,旗胜家园,360.0,43446.0
新上 旗胜家园东南一居室 中间位置 中间楼层 诚意出售 !,62.84,旗胜家园,315.0,50127.0
"二手房买卖代办所有手续,收费一万,资金监管,安全靠谱",89.04,华龙苑南里,340.0,38185.0
TBD云集中心、电梯次新小区、民水民电、原户型是两居室可恢复,83.91,TBD云集中心,329.0,39208.0
霍营·华龙苑南里·2室·1厅,60.68,华龙苑南里,240.0,39551.0
"瑞旗家园精装修商品房 满五低税费,南北通透两居室",88.68,旗胜家园,302.0,34055.0
精装修交付 回龙观高端改善盘 核心C位 三轨交汇 配套完善,146.0,紫金书院,929.0,63630.0
天鑫家园 18号线地铁 东西三居 采光视野无遮挡,97.5,天鑫家园二期,288.0,29538.0
旗胜家园 89平2居 南北向精装修 安静不临街,89.0,旗胜家园,320.0,35955.0
新上 瑞旗家园南区 视野采光嘎嘎好 看房随时,89.43,旗胜家园,330.0,36900.0
霍营·霍营小区·3室·1厅,56.56,霍营住宅小区,258.0,45615.0
"霍营·华龙苑南里·2室·1厅,有钥匙随时看房",75.05,华龙苑南里,176.0,23451.0
霍营·华龙苑南里·2室·1厅,71.28,华龙苑南里,202.0,28338.0
我有额外折扣)回龙观 地铁旁 精装科技洋房 随时看房,111.0,紫金书院,630.0,56756.0
霍营·旺龙花园·2室·1厅中央空调,106.57,旺龙花园,308.0,28901.0
"8和13号线霍营站,2009年电梯板楼,三面采光,成本低",90.5,旗胜家园,450.0,49723.0
霍营·华龙苑南里·2室·1厅,75.05,华龙苑南里,220.0,29313.0
