名称,面积(㎡),月租金(元)
华龙苑南里 3室1卫1厅 86平精装修,86.0,6000
霍营 回龙观东大街 崇学大厦 首开LONG 紫金新干,17.0,1800
8号线回龙观东大街 龙冠和谐大厦 中西医结合医院 华,10.0,1300
霍营 回龙观东大街 首开LONG 龙冠和谐大厦 紫金,18.0,1500
旗胜家园 2室1卫1厅 87.79平精装修,87.0,5500
回龙观东大街 霍营 中西医结合医院 农管干部学院 紫,10.0,1000
回龙观东大街 首开LONG街 中信科移动大厦 华龙苑,10.0,1400
霍营 回龙观东大街 中西医结合医院 新晨商场 华龙苑,18.0,2000
西三旗 霍营 龙旗广场 金隅智造 三旗百汇 旗胜家园,50.0,4000
回龙观东大街 霍营 龙冠和谐大厦 中信科大厦 华龙苑,16.0,1700
1室1厅SOCO公社 霍营 开间 干净整洁 可谈,45.0,4800
南北通透紫金新干线3室2厅精装修,129.0,7600
2室1厅紫金新干线二区,88.0,5500
南北通透紫金新干线3室2厅精装修,129.0,7600
旗胜家园 2室1卫1厅 89.07平精装修,89.0,6300
住总旗胜家园(北区)干净清爽3室看房方便1800元便,19.0,1800
霍营地铁南侧瑞旗家园精装次卧室出租,15.0,2100
13号线霍营 8号线育新 三旗百汇 民用水电气 旗胜,40.0,3000
1室1厅SOCO公社,44.0,4100
南北通透天鑫家园3室2厅精装修,137.0,1800
13号线5号线霍营地铁瑞旗家园精装大主卧出租,25.0,2500
西三旗 回龙观 上地 西二旗 西北旺 西小口 精装公,35.0,3500
西三旗8号线育新地铁新康园北区精装两居室 电梯房 集,88.0,5900
霍营地铁华龙苑南里主卧室出租朝南,20.0,2200
8号线育新 霍营 回龙观 龙旗广场 三旗百汇 建材城,35.0,2200
三旗百汇 龙旗广场 黄平路 育新地铁 免佣,65.0,1000
霍营地铁华龙苑中里有个主卧室出租,20.0,1700
8号线霍营站华龙苑南里朝南主卧带阳台近地铁300米中,19.0,2000
回龙观 霍营 华龙苑南里 精装3室 地铁在小区口 配,84.0,5900
