名称,面积(㎡),小区,总价(万),单价(元/㎡)
"地铁沙河高教园站,总高4层花园洋房,国企开发,住总清樾府",99.0,住总·清樾府,462.0,46666.0
"地铁沙河高教园站,总高4层花园洋房,国企开发,住总清樾府",125.0,住总·清樾府,587.0,46960.0
"国企开发,精装修洋房,紧邻高教园地铁站,高使用率,配套齐全",127.0,梧桐星宸,689.0,54251.0
"龙湖开发观翠,中关村生命科學园地铁站 第四代高科技住宅典范",95.0,龙湖·观萃,485.0,51052.0
"龙湖开发观萃,中关村生命科學园地铁站 第四代高科技住宅典范",129.0,龙湖·观萃,779.0,60387.0
"龙湖开发观萃,中关村生命科學园地铁站 第四代高科技住宅典范",118.0,龙湖·观萃,659.0,55847.0
"京北新盘,均价4万,127.9平精装两居室",127.9,北京建工·嘉境里,449.0,35105.0
中海瓦尔登湖 独栋别墅 5室3厅 精装修,541.0,中海瓦尔登湖,2980.0,55083.0
中海尚湖世家 600w装修 坐北朝南5间卧室价格可谈看房随时,559.89,中海尚湖世家,2660.0,47509.0
"梧桐星宸,精装修洋房,紧邻高教园地铁站,高使用率,配套齐全",85.0,梧桐星宸,365.0,42941.0
中海尚湖世家把边位置 600w装修 2017年装修 价格可谈,563.42,中海尚湖世家,2350.0,41709.0
"国企开发,精装修洋房,紧邻高教园地铁站,高使用率,配套齐全",85.0,梧桐星宸,366.0,43058.0
中海尚湖世家6室3厅精装修,349.0,中海尚湖世家,1349.0,38653.0
"地铁沙河高教园站,总高4层花园洋房,国企开发,住总清樾府",81.0,住总·清樾府,345.0,42592.0
中海尚湖世家6室5厅精装修,567.44,中海尚湖世家,2530.0,44586.0
碧水庄园 院400 南客厅7米挑空 4间卧室 价格可谈,372.52,碧水庄园,1500.0,40266.0
中海尚湖世家 联排别墅 6室3厅 精装修,349.0,中海尚湖世家,1349.0,38653.0
中海尚湖世家独栋 全南户型 5间卧室 院400平 带车库,563.42,中海尚湖世家,2350.0,41709.0
泰禾丽春湖 大面积又实惠,565.35,泰禾丽春湖院子,2280.0,40329.0
碧水庄园3期茨临湖 南边无遮挡 7米挑空厅 带电梯 游泳池,560.0,碧水庄园,5500.0,98214.0
碧水庄园3期 占地1500平 800万装修 挑空南客厅,314.06,碧水庄园,3600.0,114627.0
中海瓦尔登湖5室4厅精装修,541.0,中海瓦尔登湖,2980.0,55083.0
尚湖独栋 客厅挑空 精装7居室 全屋地暖,553.93,中海尚湖世家,2300.0,41521.0
正南 碧水庄园 8室4厅 精装修,750.0,碧水庄园,5980.0,79733.0
中海瓦尔登湖独栋 院1200平 5间卧室 可装电梯 带车库,421.0,中海瓦尔登湖别墅,1980.0,47030.0
双拼300平超大花园 一路之隔就是业主水系公园,278.15,北京玫瑰园,1350.0,48534.0
"国企开发,精装修洋房,昌平线沙河高教园地铁站,6个户型特价房",99.0,梧桐星宸,399.0,40303.0
碧水庄园 独栋别墅 8室4厅 精装修,750.0,碧水庄园,5980.0,79733.0
精装联排 南入户 南向间距大 采光好 看房方便,344.48,中海尚湖世家,1180.0,34254.0
