名称,面积(㎡),月租金(元)
正南 北京玫瑰园 6室3厅 精装修,475.0,50000
碧水庄园 优质小区南入院独栋出租,570.0,50000
北京玫瑰园5室3厅精装修,233.0,22000
碧水庄园A区精装独栋出租,375.0,23000
"北京玫瑰园 双拼低价出租,随时看房,价格好谈",271.0,17000
"兆丰家园:醇熟社区宜居境,近享便利漫享生活。距地铁6",86.0,3800
"北街家园一区新出3室户,干净清爽家电全配,交通便利配",132.0,6000
兆丰家园精装一居室QAQ,54.0,3200
百葛路3号院精装2居室,86.0,3200
"真实图片,北街家园一区,家具家电全配,随时拎包入住",90.0,3900
巩华家园南一村精装两居室,86.0,4300
兆丰家园朝南向次卧室 有意者滴滴,74.0,1300
兆丰家园东区朝南向主卧 有意者滴滴,76.0,1700
"地铁旁成熟社区 南北通透高性价比。还没到期,可提前预",60.0,3600
兆丰家园朝南两室一厅 有意者滴滴,76.0,3800
"巩华家园合租请联系,巩华合租基本所有房源都有。也包括",90.0,1300
巩华家园西二村精装两居室,76.0,4300
西二旗朱辛庄生命科学园沙河地铁一居室出租随时看房随时,55.0,3300
北街家园(六区) 精装修2居室 家电齐全 房子干净,61.0,3500
西二旗朱辛庄生命科学园高教园地铁两居室出租随时看房随,90.0,3000
西二旗朱辛庄生命科学园沙河地铁三居次卧室出租随时看房,15.0,1400
翠明新城110平精装二居改三居,110.0,3800
玉桃园三区 2室1厅 8000元,88.0,4200
"北京昌平兆丰家园:交通便捷达全城,京北宜居暖日常",60.0,3600
巩华家园西二村精装两居室,86.0,4500
北街家园(七区) 户型方正 精装修2居室 看房随时,86.0,4300
北街家园(八区) 精装修1居室 双车位 首次出租 家,35.0,2500
北街家园(七区) 精装修 2室 让您找到家的温馨,86.0,3600
"亲,还在辛苦寻找吗,这就是您温暖的家,北街家园(八区",65.0,2500
回龙观生命科学园沙河公交旁两居室出租民水民电随时看房,80.0,3000
巩华家园东一村精装两居室特价,86.0,4000
朱辛庄沙河地铁兆丰家园次卧出租民水民电随时看房随时入,18.0,1500
巩华家园南一村精装两居室,86.0,4200
北街家园(六区)3居室交通方便中间楼层采光好拎包入住,88.0,3880
巩华家园西二村精装两居室,86.0,4300
北街家园(五区) 家电齐全 房子干净 交通方便,88.0,4400
西二旗朱辛庄生命科学园沙河地铁次卧室出租随时看房随时,16.0,1400
兆丰家园东区精装两居室,74.0,3700
正南 北京玫瑰园 5室3厅 精装修,233.0,22000
民园小区 3室1厅 89.0平米,89.0,3800
北京玫瑰园 临湖独栋别墅 10室5厅8卫 带室内电梯,788.0,60000
民园小区 3室1厅 83.39平米,83.0,2700
正南 中海瓦尔登湖 4室4厅 精装修,449.0,25000
民园小区 2室1厅 74.9平米,74.0,3300
北京玫瑰园5室3厅精装修,233.0,22000
民园小区 2室1厅 70.51平米,70.0,3300
正南 中海瓦尔登湖 4室4厅 精装修,449.0,25000
整租·北一街8号 3室1厅 南/北,255.0,14700
临湖大独栋别墅 大院 花园集中 室内带电梯 游泳池,1875.0,58000
大个诚信好房推荐 大院800平 拎包住,750.0,35000
"碧水三期大宅,中式精装修风格,封闭式庭院。",4375.0,66000
整租·北科建泰禾丽春湖 4室1厅 南/北,185.0,13000
"碧水庄园新出租赁房源,千平纯独栋别墅,自住兼接待",385.0,25000
诚信好房推荐 大院800平 拎包住,750.0,35000
北京玫瑰园 5室3厅,266.0,22000
正南 北京玫瑰园 6室4厅 精装修,736.0,100000
"沙河地铁站上3下1层,使用面积大,全屋暖气片随时看",748.0,26000
整租·碧水庄园 5室3厅 复式 南/北,372.0,25700
沙河地铁站 五福家园精装修一居室出租 随时看房,56.0,3400
兆丰家园西区 电梯房 精装修 南北通透,86.0,4000
沙河地铁 巩华家园西二村 南北两居室出租 随时看房,90.0,4300
"真实图片,北街家园(七区),家具家电全配,随时拎包入",89.0,4000
临近沙河地铁站 集中供暖 包物业取暖费 民水民电 随,56.0,3400
"房东刚刚挂牌,精装修装修3室,家电全新首次出租",78.0,4000
兆丰家园南北通透两居 精装电梯房4000/月,85.0,4000
玫瑰园新出边户独栋大院 业主精装家具家电可配随时看,625.0,28000
"精装两居室,首次出租,业主直签",90.0,3200
沙河地铁巩华家园西二村精装一居出租包物业取暖随时入住,56.0,3700
兆丰家园西区 电梯房 精装修 南北通透,86.0,4000
"紧邻沙河北大桥公交车站低楼层精装两居室,业主直签",65.0,3000
展思门南里6号院 2室1卫1厅 包物业取暖 业主直签,60.0,2500
百葛路3号院 2室1卫2厅 90平精装修 包物业取暖,90.0,3500
福田 984医院 移动信息港 中石油 新元 押一付一,28.0,1300
百葛路3号院精装一居室,54.0,3100
昌平沙河南北通透两居 中装中层 业主直签 看房方便,85.0,3400
兆丰家园合租次卧QAQ,30.0,1250
