名称,面积(㎡),小区,总价(万),单价(元/㎡)
南北通透天通中苑4室2厅精装修,211.82,天通中苑,1048.0,49475.0
都市芳园别墅4室2厅,238.0,都市芳园别墅,1180.0,49579.0
天通苑·天通苑东一区电梯小2居出门地铁公园,97.49,天通苑东一区,209.0,21438.0
天通苑·天通西苑二区·2室·1厅,91.62,天通苑西二区,246.0,26850.0
南北通透天通苑本四区3室1厅精装修,216.0,天通苑本四区,930.0,43055.0
《店长推荐》天通苑本三区 板楼3层 大两居 商品房 业主诚售,96.96,天通苑本三区,349.0,35994.0
天通苑·天通苑本六区·3室·1厅,131.96,天通苑本六区,380.0,28796.0
南北通透天通中苑3室2厅精装修,140.6,天通中苑,738.0,52489.0
南北通透 燕城苑小区 2室2厅,85.26,燕城苑小区,240.0,28149.0
天通苑东一区 精装修电梯平层三居室 视野直观大公园明厨明卫,178.15,天通苑东一区,539.0,30255.0
南北通透天通苑本五区3室2厅精装修,180.0,天通苑本五区,810.0,45000.0
"天通苑西一区明厨明卫三居,双卫,只有契税!",125.59,天通苑西一区,429.0,34158.0
南北通透天通苑本四区3室2厅精装修,136.04,天通苑本四区,449.0,33005.0
天通苑西三区 电梯大三居 大平层 明厨明卫 格局方正 采光好,197.03,天通苑西三区,534.0,27102.0
"合木山庄联排别墅,地上三层,南入户房子,房子保持好,满五",182.4,合木山庄,1020.0,55921.0
南北通透天通西苑一区5室3厅精装修,301.6,天通西苑一区,890.0,29509.0
天通东苑一区 近医院 双卫生间 精装好房 南北通透 交通便捷,211.21,天通苑东一区,465.0,22016.0
南北通透天通中苑5室2厅豪华装修,248.33,天通中苑,1090.0,43893.0
南北通透天通西苑一区4室3厅精装修,201.81,天通西苑一区,500.0,24775.0
天通中苑 5室豪华装修 悦公馆 低层复式,248.33,天通中苑,1090.0,43893.0
天通苑西三区电梯三居 商品房高楼层 视野开阔 采光好楼间距宽,160.84,天通苑西三区,580.0,36060.0
天通中苑4室1厅精装修,200.83,天通中苑,950.0,47303.0
南北通透天通中苑5室3厅精装修,263.3,天通中苑,1300.0,49373.0
南北通透天通苑西三区6室4厅精装修,314.01,天通苑西三区,1100.0,35030.0
"天通苑别墅区花园洋房,4+5复式,商品房满五年",154.46,都市芳园,570.0,36902.0
天通东苑一区 近医院 双卫生间 精装好房 南北通透 交通便捷,211.21,天通苑东一区,465.0,22016.0
"天通中苑电梯一居室,商满五高楼层,视野好 采光好",74.78,天通中苑,295.0,39449.0
天通苑本三区3室2厅精装修,162.02,天通苑本三区,480.0,29625.0
天通苑花园洋房社区 南北三居室 商五 看房方便,118.99,都市芳园,368.0,30926.0
天通中苑5室2厅精装修,164.66,天通中苑,520.0,31580.0
天通苑本五区 中楼层 南北通透 大两居 商品房 诚心出售,99.89,天通苑本五区,439.0,43948.0
天通苑·天通苑西一区·6室·3厅,287.95,天通苑西一区,730.0,25351.0
天通苑板楼两居室 商品房满五 客厅带阳台 南北通透,119.84,天通苑西二区,350.0,29205.0
南北通透天通苑本二区4室1厅精装修,157.29,天通苑本二区,499.0,31724.0
天通苑 · 天通苑本六区 · 3室 · 1厅,118.2,天通苑本六区,340.0,28764.0
"天通中苑6+7复式,商五明卫户型,楼下带车位有钥匙随时看",170.74,天通中苑,459.0,26882.0
南北通透天通中苑4室2厅豪华装修,174.28,天通中苑,818.0,46935.0
"联排别墅边户型,满五年 ,位置佳,诚心卖,地上三层,南北入户",232.82,九台庄园,1480.0,63568.0
天通苑本五区2室1厅 南北两居 商品房满五,81.38,天通苑本五区,405.0,49766.0
天通苑中苑3室2厅 6+7复式不临街不把边 商五明卫户型,145.58,天通中苑,485.0,33315.0
"上叠拼别墅,独门独户,北入户,满五年诚心卖,看房随时,位置好",147.1,九台庄园,750.0,50985.0
天通苑本五区 4室 4厅 南北向复式 满五年,128.67,天通苑本五区,356.0,27667.0
昌平区天通苑回南家园2室2厅,82.06,回南家园,380.0,46307.0
天通苑低密洋房社区 南北通透两居室 户型方正商五 首付低,93.62,都市芳园,290.0,30976.0
天通苑西二区 三居眼睛房 南北通透 商品房格局方正 采光好,172.0,天通苑西二区,550.0,31976.0
天通苑东一区3室2厅,148.68,天通苑东一区,369.0,24818.0
"叠拼别墅,独门独户动静分离,满五年,南北双入户,有钥匙,诚售",153.58,九台庄园,1000.0,65112.0
南北通透天通苑本一区5室2厅,206.56,天通苑本一区,950.0,45991.0
天通苑·天通苑中苑·4室·2厅,183.39,天通中苑,513.0,27973.0
南北通透天通苑东二区5室2厅精装修,187.0,天通苑东二区,520.0,27807.0
南北通透天通苑北二区4室2厅精装修,186.0,天通苑北二区,850.0,45698.0
天通苑低密洋房社区 南北通透两居室 户型方正商五 首付低,93.62,都市芳园,370.0,39521.0
天通苑西一区 电梯高层 全明户型 双卫三居,123.77,天通苑西一区,409.0,33045.0
南北通透天通苑西二区5室2厅精装修,307.81,天通苑西二区,858.0,27874.0
南北通透天通苑西三区6室2厅精装修,313.16,天通苑西三区,920.0,29377.0
南北通透天通中苑5室2厅精装修,251.0,天通中苑,1167.0,46494.0
天通苑本五区 电梯三居 商品房位置安静 品质小区 南北通透,146.01,天通苑本五区,480.0,32874.0
"南北通透,居住舒适,满五",73.85,天通苑本二区,295.0,39945.0
九台庄园5室4厅精装修,234.0,九台庄园,1100.0,47008.0
南北通透天通中苑5室3厅精装修,210.82,天通中苑,815.0,38658.0
天通苑西三区 大平层三居室 看房方便 业主诚售 满五,196.6,天通苑西三区,384.0,19532.0
"首付40万,南北两居,电梯板楼,随时看房。",82.05,天通苑西二区,263.0,32053.0
天通苑·天通苑西一区·2室·2厅,128.91,天通苑西一区,475.0,36847.0
西三区 客厅落地阳台 看房随时 大一居室可以当两居室用,86.35,天通苑西三区,279.0,32310.0
"天通苑本三区,低总价,南北三居,有钥匙,业主急售",127.97,天通苑本三区,280.0,21880.0
天通苑·天通苑本六区·2室·1厅,74.32,天通苑本六区,230.0,30947.0
天通苑本三区 板楼三居 商品房 采光视野好,128.86,天通苑本三区,290.0,22505.0
"联排别墅,地上三层,客厅挑空,满五年大产权,北入户精装修",237.89,都市芳园,1020.0,42876.0
太平家园南北通透三居 满五简装中层住宅,88.43,太平家园,215.0,24313.0
天通苑本三区顶层三居 满五住宅19504元/平,162.02,天通苑本三区,316.1,19509.0
天通苑东二区南北通透三居 满五住宅322万,147.9,天通苑东二区,322.0,21771.0
天通苑·天通苑本六区·2室·2厅,91.39,天通苑本六区,260.0,28449.0
昌平区 : 天通苑西苑一区,160.68,天通苑西二区,346.0,21533.0
