名称,面积(㎡),月租金(元)
天通苑西三区精装两居 采光好干净整洁,97.0,5000
整租·天通苑·天通西苑二区·3室·1厅,159.0,8500
整租·天通苑·天通苑北三区·2室·1厅,85.0,4800
相寓 天通苑·天通西苑二区·中楼层·2居室,85.0,5510
相寓 天通苑·天通苑东三区·中楼层·3居室,134.0,6100
整租·天通苑·合木山庄·5室·1厅,182.0,16000
相寓 天通苑·天通西苑二区·高楼层·1居室,60.0,4300
整租·天通苑·天通苑本四区·1室·1厅,66.0,4300
相寓 天通苑·天通苑西三区·中楼层·5居室·次卧2,18.0,1900
相寓 天通苑·天通苑东二区·中楼层·3居室,141.0,6600
整租·天通苑·天通西苑二区·1室·1厅,61.0,4500
相寓 天通苑·天通苑西一区·高楼层·2居室,79.0,5300
整租·天通苑·天通西苑二区·2室·1厅,92.0,5600
相寓 天通苑·天通苑本六区·高楼层·2居室,77.0,4175
相寓 天通苑·天通苑西三区·中楼层·4居室·主卧,30.0,2700
相寓 天通苑·天通苑东二区·高楼层·2居室,100.0,5200
相寓 天通苑·天通苑北一区·低楼层·4居室·次卧3,13.0,1700
相寓 立水桥·公园两栋·低楼层·2房间,52.0,4600
相寓 天通苑·天通苑东三区·中楼层·2居室,87.0,5200
相寓 天通苑·天通苑北一区·中楼层·4居室·次卧1,18.0,1850
整租·天通苑·天通苑北二区·2室·1厅,114.0,5500
相寓 天通苑·天通苑本五区·中楼层·4居室·次卧2,15.0,1860
整租·天通苑·天通西苑二区·1室·1厅,63.0,4800
相寓 立水桥·卢卡新天地·高楼层·3居室,96.0,5605
相寓 天通苑·天通苑西三区·高楼层·3居室·主卧,28.0,2800
相寓 天通苑·天通苑中苑·高楼层·5居室·次卧4,8.0,1500
相寓 天通苑·天通西苑二区·低楼层·2居室,83.0,5300
相寓 天通苑·天通苑本三区·低楼层·2居室,67.0,4600
整租·天通苑·天通苑西一区·3室·1厅,121.0,7000
相寓 天通苑·天通公园里·低楼层·2房间,72.0,4650
相寓 天通苑·天通苑西一区·中楼层·4居室·次卧2,12.0,1700
整租·天通苑·天通西苑二区·2室·1厅,97.0,5600
相寓 天通苑·都市芳园·低楼层·4居室·次卧2,10.0,1000
相寓 天通苑·天通西苑二区·高楼层·2居室,82.0,5200
整租·天通苑·天通苑本五区·3室·1厅,160.0,8500
相寓 天通苑·天通苑东三区·低楼层·3居室,129.0,6600
